<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>
NKNCP,60,20200103,110000,85.3800000,90.8600000,85.3800000,88.9200000,82200
NKNCP,60,20200103,120000,88.9000000,88.9000000,88.0200000,88.6000000,28200
NKNCP,60,20200103,130000,88.5000000,89.0000000,88.5000000,88.9600000,33100
NKNCP,60,20200103,140000,89.0000000,89.4600000,89.0000000,89.3800000,37400
NKNCP,60,20200103,150000,89.3200000,90.0000000,89.3200000,89.9400000,66000
NKNCP,60,20200103,160000,89.9000000,90.0000000,89.5400000,89.7000000,22900
NKNCP,60,20200103,170000,89.7800000,89.9600000,89.6400000,89.8000000,17800
NKNCP,60,20200103,180000,89.7000000,89.8000000,89.6800000,89.7000000,59000
NKNCP,60,20200103,190000,89.6800000,89.8000000,89.6200000,89.6200000,48300
NKNCP,60,20200106,110000,90.0000000,94.0000000,90.0000000,93.9800000,244800
NKNCP,60,20200106,120000,93.9800000,94.0000000,93.9000000,93.9800000,74700
NKNCP,60,20200106,130000,93.9600000,94.0000000,93.9000000,93.9200000,47400
NKNCP,60,20200106,140000,93.9200000,93.9800000,93.6400000,93.9800000,47600
NKNCP,60,20200106,150000,93.9800000,93.9800000,93.9000000,93.9400000,19100
NKNCP,60,20200106,160000,93.9800000,93.9800000,93.9200000,93.9800000,41200
NKNCP,60,20200106,170000,93.9800000,93.9800000,93.9000000,93.9800000,29900
NKNCP,60,20200106,180000,93.9800000,93.9800000,93.9400000,93.9800000,23500
NKNCP,60,20200106,190000,93.9800000,94.0000000,93.9000000,94.0000000,49100
NKNCP,60,20200108,110000,95.0000000,103.7600000,95.0000000,102.6400000,315200
NKNCP,60,20200108,120000,102.6400000,102.8400000,98.8000000,101.8600000,296500
NKNCP,60,20200108,130000,101.5800000,101.8200000,100.0400000,100.2000000,104000
NKNCP,60,20200108,140000,100.2000000,100.5200000,100.0000000,100.3600000,88700
NKNCP,60,20200108,150000,100.3000000,100.4400000,92.0000000,98.4800000,324400
NKNCP,60,20200108,160000,98.5000000,98.5000000,95.7200000,98.4000000,106100
NKNCP,60,20200108,170000,98.4800000,98.8400000,97.2800000,98.7600000,40600
NKNCP,60,20200108,180000,98.7000000,99.0000000,98.5600000,98.9600000,22900
NKNCP,60,20200108,190000,99.0000000,99.1000000,98.7200000,99.0000000,36000
NKNCP,60,20200109,110000,100.0200000,102.8000000,98.1000000,98.1000000,165800
NKNCP,60,20200109,120000,98.0800000,98.9800000,93.5000000,97.9600000,181900
NKNCP,60,20200109,130000,97.5000000,98.6400000,95.0000000,98.6000000,98600
NKNCP,60,20200109,140000,98.6000000,100.0800000,98.1600000,99.5000000,311100
NKNCP,60,20200109,150000,99.5000000,99.8600000,99.0000000,99.3000000,75600
NKNCP,60,20200109,160000,99.1200000,99.7000000,99.0600000,99.2600000,324500
NKNCP,60,20200109,170000,99.2600000,99.3200000,98.5000000,98.5800000,27500
NKNCP,60,20200109,180000,98.5800000,98.6800000,98.5000000,98.5000000,22000
NKNCP,60,20200109,190000,98.5000000,98.6600000,98.2600000,98.2600000,18600
NKNCP,60,20200110,110000,99.6400000,99.6400000,95.4000000,96.2400000,69700
NKNCP,60,20200110,120000,96.4200000,97.0000000,96.1600000,96.4400000,244000
NKNCP,60,20200110,130000,96.4000000,96.4600000,95.5400000,96.0000000,78400
NKNCP,60,20200110,140000,96.1000000,96.1200000,94.5800000,94.5800000,209800
NKNCP,60,20200110,150000,94.6000000,95.0200000,94.3000000,94.6400000,49800
NKNCP,60,20200110,160000,94.5600000,95.2000000,94.5600000,95.2000000,22800
NKNCP,60,20200110,170000,95.1000000,95.2000000,94.6200000,95.0000000,18000
NKNCP,60,20200110,180000,95.0000000,95.0000000,93.6200000,93.7000000,99300
NKNCP,60,20200110,190000,93.6200000,93.7000000,93.5600000,93.7000000,37600
NKNCP,60,20200113,110000,93.9800000,94.6800000,93.7200000,94.4400000,87500
NKNCP,60,20200113,120000,94.2400000,94.4600000,93.7200000,94.1800000,66100
NKNCP,60,20200113,130000,94.0800000,94.1000000,93.0000000,93.4200000,52100
NKNCP,60,20200113,140000,93.7000000,93.9800000,93.6400000,93.9800000,21500
NKNCP,60,20200113,150000,93.8000000,94.5000000,93.8000000,94.5000000,32700
NKNCP,60,20200113,160000,94.5000000,94.5000000,94.2200000,94.4400000,14400
NKNCP,60,20200113,170000,94.4400000,94.5000000,94.2600000,94.5000000,18900
NKNCP,60,20200113,180000,94.5800000,94.9000000,94.5000000,94.9000000,37900
NKNCP,60,20200113,190000,94.9000000,95.8800000,94.9000000,95.2200000,70200
NKNCP,60,20200114,110000,96.0000000,97.3200000,95.3200000,97.2600000,109200
NKNCP,60,20200114,120000,97.2600000,97.4000000,96.5000000,96.7000000,43900
NKNCP,60,20200114,130000,96.7000000,96.7000000,95.3200000,96.0000000,50200
NKNCP,60,20200114,140000,96.3000000,96.3000000,95.8000000,96.2800000,12000
NKNCP,60,20200114,150000,96.1400000,96.3000000,95.1000000,95.2000000,32300
NKNCP,60,20200114,160000,95.2000000,95.8600000,94.8000000,94.8800000,23900
NKNCP,60,20200114,170000,94.9000000,95.0000000,94.5200000,94.8400000,21800
NKNCP,60,20200114,180000,94.8400000,94.9800000,94.6000000,94.9800000,13000
NKNCP,60,20200114,190000,94.9800000,95.3800000,94.9800000,95.2000000,12500
NKNCP,60,20200115,110000,95.9400000,95.9400000,94.5400000,94.6200000,32500
NKNCP,60,20200115,120000,94.6400000,94.9000000,94.3200000,94.7200000,13700
NKNCP,60,20200115,130000,94.8400000,94.9000000,94.5400000,94.8800000,2800
NKNCP,60,20200115,140000,94.8800000,95.0000000,94.5400000,94.8800000,12100
NKNCP,60,20200115,150000,94.8000000,94.9400000,94.8000000,94.9400000,4400
NKNCP,60,20200115,160000,94.9400000,94.9800000,94.5600000,94.9400000,7700
NKNCP,60,20200115,170000,94.9000000,94.9800000,93.6600000,93.7800000,59600
NKNCP,60,20200115,180000,93.7200000,94.5000000,93.4000000,94.2000000,25000
NKNCP,60,20200115,190000,94.1800000,94.4200000,93.6400000,93.9800000,12200
NKNCP,60,20200116,110000,94.1200000,96.0000000,94.0200000,95.8800000,61800
NKNCP,60,20200116,120000,95.7600000,95.8800000,94.6800000,95.0000000,36900
NKNCP,60,20200116,130000,95.0000000,95.0000000,94.6600000,94.9600000,16400
NKNCP,60,20200116,140000,94.9000000,94.9600000,94.6000000,94.9400000,10100
NKNCP,60,20200116,150000,94.9600000,94.9800000,94.8200000,94.9800000,9300
NKNCP,60,20200116,160000,94.8400000,95.0000000,94.6200000,94.9000000,12800
NKNCP,60,20200116,170000,94.9000000,94.9000000,94.6200000,94.8000000,6600
NKNCP,60,20200116,180000,94.8200000,94.9400000,94.8000000,94.9400000,10300
NKNCP,60,20200116,190000,94.9400000,94.9600000,94.7400000,94.9200000,10700
NKNCP,60,20200117,110000,95.2000000,95.5400000,94.1600000,94.8800000,50600
NKNCP,60,20200117,120000,94.8000000,94.9000000,94.4400000,94.7000000,24700
NKNCP,60,20200117,130000,94.6800000,94.6800000,94.1200000,94.3200000,33300
NKNCP,60,20200117,140000,94.3000000,94.5000000,94.1000000,94.5000000,19500
NKNCP,60,20200117,150000,94.5000000,94.7800000,94.1600000,94.7000000,15700
NKNCP,60,20200117,160000,94.6600000,94.6800000,94.3600000,94.4000000,14700
NKNCP,60,20200117,170000,94.4000000,94.4000000,94.0000000,94.2000000,58500
NKNCP,60,20200117,180000,94.2000000,94.5000000,94.2000000,94.4800000,16100
NKNCP,60,20200117,190000,94.5000000,94.5000000,94.4000000,94.5000000,6700
NKNCP,60,20200120,110000,95.1800000,95.2000000,94.6000000,94.7800000,30200
NKNCP,60,20200120,120000,94.6800000,94.8400000,94.5000000,94.7000000,51000
NKNCP,60,20200120,130000,94.6000000,94.7200000,94.4000000,94.4600000,19700
NKNCP,60,20200120,140000,94.4000000,94.5000000,94.3000000,94.4800000,15900
NKNCP,60,20200120,150000,94.4800000,94.5000000,94.3200000,94.4800000,9900
NKNCP,60,20200120,160000,94.4800000,94.5000000,94.3600000,94.5000000,10300
NKNCP,60,20200120,170000,94.4800000,94.4800000,93.8400000,94.0000000,57000
NKNCP,60,20200120,180000,94.0000000,94.4000000,94.0000000,94.3000000,16300
NKNCP,60,20200120,190000,94.3000000,94.4600000,94.1800000,94.3800000,26700
NKNCP,60,20200121,110000,94.3800000,94.4800000,93.0600000,93.1800000,38800
NKNCP,60,20200121,120000,93.3400000,93.5000000,93.0400000,93.5000000,29100
NKNCP,60,20200121,130000,93.5000000,93.5000000,93.0400000,93.1800000,18700
NKNCP,60,20200121,140000,93.1600000,93.5000000,93.1200000,93.4800000,21800
NKNCP,60,20200121,150000,93.4800000,93.8400000,92.8200000,93.2600000,52000
NKNCP,60,20200121,160000,93.2200000,93.2800000,93.0400000,93.2800000,10800
NKNCP,60,20200121,170000,93.2800000,93.7000000,93.0800000,93.5400000,35100
NKNCP,60,20200121,180000,93.5000000,93.6000000,93.3000000,93.6000000,35600
NKNCP,60,20200121,190000,93.5000000,93.5800000,93.3800000,93.3800000,6800
NKNCP,60,20200122,110000,93.7200000,93.7400000,93.3000000,93.5000000,27500
NKNCP,60,20200122,120000,93.5000000,93.5000000,93.2200000,93.4200000,14400
NKNCP,60,20200122,130000,93.3800000,93.4000000,93.1600000,93.1600000,15000
NKNCP,60,20200122,140000,93.1600000,93.6800000,93.1600000,93.6200000,24200
NKNCP,60,20200122,150000,93.6400000,93.9600000,93.1600000,93.1800000,45800
NKNCP,60,20200122,160000,93.3400000,93.3400000,92.6000000,92.6200000,61000
NKNCP,60,20200122,170000,92.6000000,92.6200000,90.5000000,91.7800000,99600
NKNCP,60,20200122,180000,91.9000000,91.9400000,91.2400000,91.2400000,13800
NKNCP,60,20200122,190000,91.2200000,91.4600000,91.0600000,91.1000000,14000
NKNCP,60,20200123,110000,91.3600000,92.0800000,89.0800000,89.8200000,72900
NKNCP,60,20200123,120000,89.8200000,89.8200000,89.1200000,89.3200000,45800
NKNCP,60,20200123,130000,89.3600000,89.7600000,89.3600000,89.7200000,16400
NKNCP,60,20200123,140000,89.7200000,89.7200000,89.0000000,89.2000000,62000
NKNCP,60,20200123,150000,89.3400000,89.6000000,89.3000000,89.5800000,24500
NKNCP,60,20200123,160000,89.5800000,89.6000000,89.0000000,89.2600000,28100
NKNCP,60,20200123,170000,89.2000000,89.4000000,89.0000000,89.3600000,19100
NKNCP,60,20200123,180000,89.2400000,89.4000000,88.7200000,88.8000000,22600
NKNCP,60,20200123,190000,88.8000000,89.0000000,88.0000000,88.0000000,69900
NKNCP,60,20200124,110000,88.8400000,88.8400000,85.4000000,85.5400000,94400
NKNCP,60,20200124,120000,85.6000000,89.9400000,84.2000000,89.9000000,192100
NKNCP,60,20200124,130000,89.9000000,89.9000000,87.8200000,88.6200000,53700
NKNCP,60,20200124,140000,88.6000000,89.3200000,88.6000000,89.3200000,17000
NKNCP,60,20200124,150000,89.3000000,89.3200000,87.8400000,88.9200000,22400
NKNCP,60,20200124,160000,88.9200000,89.4800000,88.8600000,89.4800000,15100
NKNCP,60,20200124,170000,89.4000000,89.7800000,89.4000000,89.7800000,11800
NKNCP,60,20200124,180000,89.7800000,89.9400000,89.5200000,89.9200000,13200
NKNCP,60,20200124,190000,89.9400000,90.5600000,89.9400000,90.2000000,35500
NKNCP,60,20200127,110000,89.5200000,90.0000000,88.0000000,88.3800000,74300
NKNCP,60,20200127,120000,88.3600000,88.7200000,88.1000000,88.4400000,22600
NKNCP,60,20200127,130000,88.5600000,88.6200000,86.3000000,86.4400000,86700
NKNCP,60,20200127,140000,86.5600000,86.7200000,85.4000000,86.3000000,101900
NKNCP,60,20200127,150000,86.1400000,86.6400000,85.5000000,86.3000000,48500
NKNCP,60,20200127,160000,86.3200000,86.6800000,86.1200000,86.5400000,23000
NKNCP,60,20200127,170000,86.5400000,86.5800000,86.0600000,86.5000000,19100
NKNCP,60,20200127,180000,86.5000000,86.5400000,86.3000000,86.5200000,14300
NKNCP,60,20200127,190000,86.3400000,86.5200000,86.0000000,86.3600000,24800
NKNCP,60,20200128,110000,86.4800000,88.0000000,86.4800000,87.8000000,65800
NKNCP,60,20200128,120000,87.8400000,87.9800000,87.7200000,87.7200000,21700
NKNCP,60,20200128,130000,87.9400000,87.9400000,86.5000000,86.7400000,31500
NKNCP,60,20200128,140000,86.7000000,88.0000000,86.7000000,87.9000000,37700
NKNCP,60,20200128,150000,88.0000000,88.5000000,87.9000000,88.4000000,18000
NKNCP,60,20200128,160000,88.4200000,88.9800000,88.4000000,88.7000000,22900
