<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>
NKNC,60,20200103,110000,98.3500000,98.3500000,96.1500000,97.8500000,3210
NKNC,60,20200103,120000,97.5000000,98.5000000,97.5000000,98.5000000,5980
NKNC,60,20200103,130000,98.5500000,102.5500000,97.6500000,98.1500000,3080
NKNC,60,20200103,140000,98.1500000,100.7000000,98.0000000,99.3000000,14720
NKNC,60,20200103,150000,99.7000000,101.3500000,99.3000000,101.1000000,7790
NKNC,60,20200103,160000,101.1000000,101.3000000,100.9000000,101.2500000,2750
NKNC,60,20200103,170000,101.2500000,101.3500000,100.7000000,100.7000000,5700
NKNC,60,20200103,180000,100.7000000,100.9000000,100.4000000,100.4500000,1380
NKNC,60,20200103,190000,100.5000000,100.9000000,100.3500000,100.9000000,5220
NKNC,60,20200106,110000,101.9500000,107.8000000,101.1000000,105.8500000,23830
NKNC,60,20200106,120000,105.9000000,109.5000000,105.9000000,109.5000000,26100
NKNC,60,20200106,130000,109.5000000,109.9000000,105.6500000,105.6500000,22790
NKNC,60,20200106,140000,106.0000000,107.1500000,105.7500000,106.9500000,6870
NKNC,60,20200106,150000,106.9500000,107.0000000,106.5000000,107.0000000,2710
NKNC,60,20200106,160000,107.0000000,108.5500000,107.0000000,108.4500000,4870
NKNC,60,20200106,170000,108.4500000,108.4500000,106.9500000,107.8000000,2810
NKNC,60,20200106,180000,107.8500000,108.0000000,107.6000000,108.0000000,620
NKNC,60,20200106,190000,107.7500000,108.9000000,107.7500000,108.8000000,6160
NKNC,60,20200108,110000,110.0000000,129.7500000,108.4000000,129.2500000,96760
NKNC,60,20200108,120000,129.4000000,129.9500000,120.5000000,124.2000000,101620
NKNC,60,20200108,130000,124.1000000,127.3000000,124.0000000,124.8000000,23700
NKNC,60,20200108,140000,124.8500000,124.8500000,124.0000000,124.3000000,8930
NKNC,60,20200108,150000,124.4000000,124.7000000,120.3000000,120.4000000,17630
NKNC,60,20200108,160000,120.2500000,123.0000000,120.0000000,121.1000000,16400
NKNC,60,20200108,170000,121.8500000,121.8500000,120.9500000,121.2000000,5020
NKNC,60,20200108,180000,121.5500000,124.6000000,121.3500000,124.3000000,21180
NKNC,60,20200108,190000,124.4000000,124.5500000,122.8000000,124.1000000,22360
NKNC,60,20200109,110000,126.0000000,128.9500000,118.5000000,119.4500000,129940
NKNC,60,20200109,120000,119.4000000,119.9500000,110.1000000,114.2500000,72110
NKNC,60,20200109,130000,113.8000000,116.6000000,113.4500000,113.9000000,23930
NKNC,60,20200109,140000,114.0500000,123.5000000,114.0500000,121.1000000,81290
NKNC,60,20200109,150000,121.1000000,122.1500000,120.7000000,120.9500000,21150
NKNC,60,20200109,160000,121.0000000,121.9500000,120.7000000,120.8000000,8770
NKNC,60,20200109,170000,120.8500000,120.9500000,120.2500000,120.5000000,29940
NKNC,60,20200109,180000,120.4000000,120.6500000,119.1000000,119.3000000,7020
NKNC,60,20200109,190000,119.3500000,120.4000000,118.2500000,119.6000000,5900
NKNC,60,20200110,110000,119.5000000,119.5000000,115.1500000,116.9000000,10500
NKNC,60,20200110,120000,116.8000000,117.0000000,116.0000000,116.6500000,18970
NKNC,60,20200110,130000,116.5000000,116.5500000,116.2000000,116.5500000,2800
NKNC,60,20200110,140000,116.4000000,117.0000000,116.3500000,116.6500000,4180
NKNC,60,20200110,150000,116.8000000,116.8000000,116.3000000,116.3500000,3740
NKNC,60,20200110,160000,116.4500000,116.4500000,116.3000000,116.4000000,2430
NKNC,60,20200110,170000,116.4000000,116.4000000,116.2500000,116.4000000,5350
NKNC,60,20200110,180000,116.4000000,116.4500000,116.2000000,116.4500000,2580
NKNC,60,20200110,190000,116.4000000,116.4000000,116.0000000,116.2500000,2910
NKNC,60,20200113,110000,117.7500000,122.9500000,116.4500000,120.2000000,56500
NKNC,60,20200113,120000,120.1000000,121.9000000,120.1000000,120.6000000,22430
NKNC,60,20200113,130000,121.0500000,121.0500000,120.0000000,120.2000000,11350
NKNC,60,20200113,140000,120.1500000,121.0000000,120.1500000,120.7500000,4250
NKNC,60,20200113,150000,120.7000000,121.9000000,120.1500000,121.9000000,21080
NKNC,60,20200113,160000,121.9000000,121.9000000,120.6000000,121.3000000,6890
NKNC,60,20200113,170000,121.1500000,121.1500000,120.1000000,120.2000000,6090
NKNC,60,20200113,180000,120.3000000,120.8000000,120.2500000,120.6000000,2140
NKNC,60,20200113,190000,120.7000000,121.9000000,120.7000000,121.9000000,7340
NKNC,60,20200114,110000,123.9500000,123.9500000,119.5000000,119.5000000,22140
NKNC,60,20200114,120000,119.4500000,120.6500000,119.1500000,120.5500000,8200
NKNC,60,20200114,130000,120.2000000,120.5500000,119.2000000,119.7000000,4920
NKNC,60,20200114,140000,119.6500000,119.9500000,119.5000000,119.9500000,4010
NKNC,60,20200114,150000,119.8500000,120.0000000,119.3500000,119.6000000,15620
NKNC,60,20200114,160000,119.6000000,119.9000000,118.8500000,118.8500000,9920
NKNC,60,20200114,170000,118.8000000,118.8500000,116.0000000,117.7500000,18150
NKNC,60,20200114,180000,117.7500000,117.9500000,117.2000000,117.9000000,3260
NKNC,60,20200114,190000,117.9000000,118.0000000,117.8000000,118.0000000,8560
NKNC,60,20200115,110000,119.0000000,120.4000000,114.0500000,115.9000000,75140
NKNC,60,20200115,120000,115.8000000,116.7500000,115.8000000,116.7500000,4800
NKNC,60,20200115,130000,116.7500000,118.4500000,116.7500000,118.0500000,5310
NKNC,60,20200115,140000,118.0000000,118.3000000,116.7500000,117.9000000,6620
NKNC,60,20200115,150000,117.3500000,117.7500000,116.0000000,117.4500000,5220
NKNC,60,20200115,160000,117.4500000,117.5500000,116.1000000,117.4500000,4590
NKNC,60,20200115,170000,117.0500000,117.5500000,114.5000000,116.2500000,24900
NKNC,60,20200115,180000,115.2500000,116.7000000,114.9500000,116.0500000,11270
NKNC,60,20200115,190000,116.0500000,116.6000000,115.0500000,116.2000000,9460
NKNC,60,20200116,110000,116.3000000,117.6500000,115.6000000,116.4000000,9930
NKNC,60,20200116,120000,116.5500000,116.6500000,115.9000000,116.4000000,6090
NKNC,60,20200116,130000,116.0000000,116.3000000,115.5000000,115.8500000,29020
NKNC,60,20200116,140000,115.9000000,115.9000000,115.5000000,115.8000000,2180
NKNC,60,20200116,150000,115.7500000,115.8500000,115.6500000,115.7500000,3670
NKNC,60,20200116,160000,115.7000000,115.9500000,115.6500000,115.9500000,3350
NKNC,60,20200116,170000,115.7500000,115.9000000,115.6000000,115.8500000,1580
NKNC,60,20200116,180000,115.8500000,115.9500000,115.7000000,115.9500000,3270
NKNC,60,20200116,190000,115.9000000,116.0500000,115.7500000,116.0500000,2350
NKNC,60,20200117,110000,117.4500000,117.4500000,115.3000000,116.8000000,7480
NKNC,60,20200117,120000,116.8000000,116.8000000,116.0500000,116.5500000,9440
NKNC,60,20200117,130000,116.5000000,116.6000000,115.6500000,116.0000000,4340
NKNC,60,20200117,140000,116.0000000,116.8000000,115.7000000,116.4500000,8270
NKNC,60,20200117,150000,116.8000000,116.8000000,116.2500000,116.7000000,9300
NKNC,60,20200117,160000,116.7000000,116.8000000,114.1500000,116.0000000,24100
NKNC,60,20200117,170000,115.9500000,116.4500000,115.7500000,115.9500000,4610
NKNC,60,20200117,180000,115.9500000,116.8000000,115.6500000,115.7500000,8310
NKNC,60,20200117,190000,116.4500000,116.4500000,115.8000000,116.3000000,4880
NKNC,60,20200120,110000,115.8500000,117.4500000,115.1000000,115.7000000,9400
NKNC,60,20200120,120000,115.6500000,115.7000000,114.9500000,115.0000000,11910
NKNC,60,20200120,130000,115.2500000,115.3500000,114.4500000,115.0000000,8140
NKNC,60,20200120,140000,115.0000000,115.2000000,114.8500000,114.9500000,5990
NKNC,60,20200120,150000,114.9500000,115.3000000,114.5000000,115.1000000,10520
NKNC,60,20200120,160000,114.9000000,115.3500000,114.5500000,115.0500000,5530
NKNC,60,20200120,170000,115.3000000,115.3500000,114.9000000,115.3500000,3250
NKNC,60,20200120,180000,115.3500000,115.3500000,115.0500000,115.3500000,2210
NKNC,60,20200120,190000,115.3500000,115.3500000,115.0500000,115.3000000,1650
NKNC,60,20200121,110000,115.3000000,115.3000000,114.4500000,115.0000000,6550
NKNC,60,20200121,120000,115.0000000,115.0000000,113.4000000,113.8500000,10600
NKNC,60,20200121,130000,113.8000000,113.8500000,113.3000000,113.7000000,5000
NKNC,60,20200121,140000,113.7000000,113.7000000,113.4000000,113.5000000,1180
NKNC,60,20200121,150000,113.6500000,113.6500000,113.2500000,113.6500000,7940
NKNC,60,20200121,160000,113.6000000,114.8000000,113.5000000,114.4000000,2990
NKNC,60,20200121,170000,114.4000000,114.8500000,113.9000000,113.9500000,16240
NKNC,60,20200121,180000,114.0000000,114.5000000,113.9000000,114.5000000,920
NKNC,60,20200121,190000,114.5000000,114.5500000,113.7000000,114.1000000,3970
NKNC,60,20200122,110000,114.2500000,114.8500000,114.1000000,114.2000000,4790
NKNC,60,20200122,120000,114.1500000,114.1500000,113.4000000,113.8000000,3410
NKNC,60,20200122,130000,113.8000000,113.8500000,111.2500000,112.9500000,9420
NKNC,60,20200122,140000,113.0000000,113.3000000,110.5500000,111.7000000,17780
NKNC,60,20200122,150000,111.7500000,111.7500000,110.7500000,111.2500000,5130
NKNC,60,20200122,160000,111.0000000,111.3500000,110.6000000,111.3500000,6750
NKNC,60,20200122,170000,111.0500000,111.8000000,110.8000000,111.7500000,9320
NKNC,60,20200122,180000,111.3000000,111.5000000,111.0500000,111.5000000,18630
NKNC,60,20200122,190000,111.5000000,111.5000000,111.3500000,111.5000000,840
NKNC,60,20200123,110000,110.5000000,112.0000000,109.1000000,109.2500000,11410
NKNC,60,20200123,120000,109.2500000,109.4000000,107.6500000,108.8000000,12740
NKNC,60,20200123,130000,108.7500000,109.2000000,108.6000000,108.7500000,4640
NKNC,60,20200123,140000,109.0000000,109.4000000,108.8000000,109.4000000,2970
NKNC,60,20200123,150000,109.0500000,109.4500000,108.7500000,109.1500000,1740
NKNC,60,20200123,160000,109.1500000,109.4500000,108.1000000,108.5500000,19470
NKNC,60,20200123,170000,108.2000000,108.7500000,108.1500000,108.6000000,2070
NKNC,60,20200123,180000,108.7500000,109.0000000,108.5000000,108.5500000,17150
NKNC,60,20200123,190000,108.6500000,108.8000000,108.0000000,108.5000000,8990
NKNC,60,20200124,110000,108.7500000,108.7500000,106.6000000,107.0000000,8160
NKNC,60,20200124,120000,107.0000000,109.7500000,106.9500000,109.3500000,10270
NKNC,60,20200124,130000,109.0500000,109.3000000,108.0000000,109.1000000,2910
NKNC,60,20200124,140000,109.0000000,109.1000000,108.0500000,108.6500000,2270
NKNC,60,20200124,150000,108.2500000,108.7000000,107.9500000,108.4500000,2560
NKNC,60,20200124,160000,108.3000000,109.2000000,108.3000000,108.9500000,21940
NKNC,60,20200124,170000,108.9500000,109.3000000,108.6500000,109.2500000,2440
NKNC,60,20200124,180000,109.2500000,109.3500000,108.6000000,109.3000000,2310
NKNC,60,20200124,190000,109.3000000,109.3500000,109.1000000,109.3500000,450
NKNC,60,20200127,110000,109.7500000,109.7500000,107.0000000,108.0000000,9030
NKNC,60,20200127,120000,108.0000000,108.8000000,107.7000000,108.8000000,3240
NKNC,60,20200127,130000,108.8000000,108.8000000,107.9000000,107.9000000,9050
NKNC,60,20200127,140000,107.9000000,107.9000000,107.0000000,107.0500000,3060
NKNC,60,20200127,150000,107.0000000,107.0500000,106.5000000,106.9000000,2940
NKNC,60,20200127,160000,106.8500000,106.9000000,106.3000000,106.6000000,2410
NKNC,60,20200127,170000,106.5500000,106.5500000,104.6500000,106.3000000,6280
NKNC,60,20200127,180000,106.2000000,106.2000000,104.7500000,105.2000000,7620
NKNC,60,20200127,190000,105.2000000,105.2000000,104.7000000,105.2000000,5280
NKNC,60,20200128,110000,105.9500000,106.7500000,103.0500000,103.9000000,12670
NKNC,60,20200128,120000,103.9000000,105.7000000,103.9000000,105.0500000,5580
NKNC,60,20200128,130000,105.0500000,106.0000000,104.9000000,106.0000000,1710
NKNC,60,20200128,140000,105.9500000,105.9500000,104.8000000,105.1500000,2350
NKNC,60,20200128,150000,105.1500000,105.1500000,104.5500000,105.0500000,2070
NKNC,60,20200128,160000,105.0500000,105.4500000,104.9000000,105.4000000,1630
NKNC,60,20200128,170000,105.4000000,105.8000000,105.4000000,105.8000000,840
NKNC,60,20200128,180000,105.8000000,105.9500000,105.2000000,105.9500000,2200
NKNC,60,20200128,190000,105.9000000,106.8000000,105.9000000,106.6000000,1530
NKNC,60,20200129,110000,108.6500000,109.9000000,105.8000000,109.9000000,41540
NKNC,60,20200129,120000,109.9000000,109.9000000,109.0000000,109.8000000,11210
NKNC,60,20200129,130000,109.8000000,109.9000000,109.5500000,109.8000000,3090
NKNC,60,20200129,140000,109.8000000,110.8500000,109.7000000,110.8000000,5670
NKNC,60,20200129,150000,110.7000000,110.9500000,110.1500000,110.9500000,6160
NKNC,60,20200129,160000,110.9500000,111.2000000,110.8000000,110.9000000,4670
NKNC,60,20200129,170000,110.9000000,111.2500000,109.6000000,110.0500000,18520
NKNC,60,20200129,180000,110.9500000,113.9500000,110.4000000,112.1500000,43390
NKNC,60,20200129,190000,111.6500000,112.2000000,110.1500000,112.2000000,17780
NKNC,60,20200130,110000,111.0500000,111.7000000,108.5000000,109.5000000,41450
NKNC,60,20200130,120000,109.5500000,111.3500000,109.5500000,110.5000000,9330
NKNC,60,20200130,130000,110.7000000,110.7500000,109.8500000,110.7500000,2510
NKNC,60,20200130,140000,110.7500000,110.7500000,109.0000000,109.9500000,4540
NKNC,60,20200130,150000,109.9500000,110.0000000,109.3500000,109.9500000,1450
NKNC,60,20200130,160000,110.0000000,110.6000000,109.9500000,110.5500000,1210
NKNC,60,20200130,170000,110.4500000,110.5500000,109.9000000,109.9000000,2280
NKNC,60,20200130,180000,110.0500000,110.3000000,109.3500000,109.3500000,2070
NKNC,60,20200130,190000,109.2500000,110.5000000,109.2500000,110.5000000,4430
NKNC,60,20200131,110000,111.0000000,113.4500000,109.2000000,110.9500000,4830
NKNC,60,20200131,120000,110.6000000,111.0000000,110.5500000,110.7000000,1670
NKNC,60,20200131,130000,110.7000000,110.9500000,110.5500000,110.7000000,440
NKNC,60,20200131,140000,110.5500000,110.9000000,108.6000000,110.2500000,17360
NKNC,60,20200131,150000,110.3000000,110.4500000,109.5500000,109.8000000,390
NKNC,60,20200131,160000,109.5500000,109.6000000,108.1500000,109.4000000,3700
NKNC,60,20200131,170000,108.6500000,109.1000000,108.4500000,108.6000000,3350
NKNC,60,20200131,180000,108.7000000,110.0000000,108.7000000,109.8000000,5940
NKNC,60,20200131,190000,109.8000000,110.7500000,109.6000000,110.7500000,4550
NKNC,60,20200203,110000,110.0000000,110.0000000,106.6500000,107.6000000,12200
NKNC,60,20200203,120000,107.9500000,107.9500000,106.5500000,107.1500000,14640
NKNC,60,20200203,130000,107.1000000,107.3500000,107.0000000,107.3000000,3840
NKNC,60,20200203,140000,107.3000000,107.9000000,107.3000000,107.8000000,2620
NKNC,60,20200203,150000,107.8000000,107.9000000,107.4500000,107.9000000,2890
NKNC,60,20200203,160000,107.7000000,108.2000000,107.7000000,108.1500000,5650
NKNC,60,20200203,170000,108.2000000,108.2000000,107.7000000,108.1500000,1500
NKNC,60,20200203,180000,108.1500000,108.7500000,107.7500000,108.4500000,3880
NKNC,60,20200203,190000,108.4500000,109.0000000,107.3000000,109.0000000,9740
NKNC,60,20200204,110000,108.1500000,110.0000000,106.7000000,107.5500000,11630
NKNC,60,20200204,120000,107.8000000,108.3500000,107.6000000,108.0000000,5320
NKNC,60,20200204,130000,108.0000000,108.0000000,107.6000000,107.6500000,5500
NKNC,60,20200204,140000,107.8500000,108.0000000,107.2000000,107.8500000,3350
NKNC,60,20200204,150000,107.8500000,108.4500000,107.2500000,107.6500000,3810
NKNC,60,20200204,160000,107.4000000,108.4500000,107.3000000,108.4000000,4120
NKNC,60,20200204,170000,108.4500000,108.5000000,108.4000000,108.5000000,290
NKNC,60,20200204,180000,108.5000000,109.8500000,108.5000000,109.3500000,9650
NKNC,60,20200204,190000,109.3500000,109.9500000,108.7500000,109.9500000,4890
NKNC,60,20200205,110000,110.0000000,110.0000000,109.0000000,109.2500000,3990
NKNC,60,20200205,120000,109.5000000,109.7500000,109.2500000,109.6000000,11730
NKNC,60,20200205,130000,109.6000000,109.8000000,109.3500000,109.8000000,3810
NKNC,60,20200205,140000,109.8000000,109.8000000,109.7000000,109.8000000,1280
NKNC,60,20200205,150000,109.8000000,110.0000000,109.7500000,109.9000000,2400
NKNC,60,20200205,160000,109.9000000,109.9000000,109.4000000,109.9000000,800
NKNC,60,20200205,170000,109.5500000,109.9000000,109.5500000,109.6500000,1850
NKNC,60,20200205,180000,109.8000000,109.9500000,109.3500000,109.6000000,8750
NKNC,60,20200205,190000,109.9000000,110.0000000,109.3000000,110.0000000,4830
