<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>
RSTIP,60,20200103,110000,1.6300000,1.6440000,1.6280000,1.6320000,1479000
RSTIP,60,20200103,120000,1.6320000,1.6410000,1.6290000,1.6410000,1283000
RSTIP,60,20200103,130000,1.6410000,1.6410000,1.6360000,1.6390000,143000
RSTIP,60,20200103,140000,1.6370000,1.6370000,1.6310000,1.6320000,668000
RSTIP,60,20200103,150000,1.6330000,1.6390000,1.6320000,1.6320000,312000
RSTIP,60,20200103,160000,1.6330000,1.6360000,1.6320000,1.6320000,97000
RSTIP,60,20200103,170000,1.6340000,1.6370000,1.6300000,1.6370000,290000
RSTIP,60,20200103,180000,1.6370000,1.6370000,1.6300000,1.6330000,556000
RSTIP,60,20200103,190000,1.6340000,1.6390000,1.6300000,1.6370000,283000
RSTIP,60,20200106,110000,1.6300000,1.6350000,1.6250000,1.6350000,809000
RSTIP,60,20200106,120000,1.6340000,1.6370000,1.6300000,1.6370000,326000
RSTIP,60,20200106,130000,1.6370000,1.6440000,1.6340000,1.6430000,982000
RSTIP,60,20200106,140000,1.6400000,1.6560000,1.6400000,1.6560000,974000
RSTIP,60,20200106,150000,1.6510000,1.6560000,1.6500000,1.6550000,544000
RSTIP,60,20200106,160000,1.6550000,1.6610000,1.6550000,1.6580000,656000
RSTIP,60,20200106,170000,1.6600000,1.6630000,1.6580000,1.6580000,392000
RSTIP,60,20200106,180000,1.6580000,1.6700000,1.6580000,1.6590000,1359000
RSTIP,60,20200106,190000,1.6580000,1.6650000,1.6520000,1.6630000,1129000
RSTIP,60,20200108,110000,1.6530000,1.6650000,1.6250000,1.6540000,1210000
RSTIP,60,20200108,120000,1.6550000,1.6620000,1.6530000,1.6620000,579000
RSTIP,60,20200108,130000,1.6580000,1.6720000,1.6510000,1.6680000,1778000
RSTIP,60,20200108,140000,1.6680000,1.6800000,1.6650000,1.6760000,1042000
RSTIP,60,20200108,150000,1.6770000,1.6800000,1.6720000,1.6730000,640000
RSTIP,60,20200108,160000,1.6730000,1.6750000,1.6690000,1.6720000,175000
RSTIP,60,20200108,170000,1.6720000,1.6790000,1.6700000,1.6760000,247000
RSTIP,60,20200108,180000,1.6770000,1.6950000,1.6730000,1.6900000,1546000
RSTIP,60,20200108,190000,1.6860000,1.6950000,1.6810000,1.6810000,1114000
RSTIP,60,20200109,110000,1.6820000,1.6910000,1.6790000,1.6800000,952000
RSTIP,60,20200109,120000,1.6810000,1.6820000,1.6700000,1.6820000,1006000
RSTIP,60,20200109,130000,1.6820000,1.6900000,1.6800000,1.6900000,1145000
RSTIP,60,20200109,140000,1.6910000,1.6910000,1.6880000,1.6910000,263000
RSTIP,60,20200109,150000,1.6910000,1.7040000,1.6850000,1.7040000,1241000
RSTIP,60,20200109,160000,1.7030000,1.7570000,1.7000000,1.7320000,8648000
RSTIP,60,20200109,170000,1.7320000,1.7420000,1.7240000,1.7260000,1257000
RSTIP,60,20200109,180000,1.7270000,1.7280000,1.7190000,1.7280000,1077000
RSTIP,60,20200109,190000,1.7290000,1.7380000,1.7230000,1.7240000,452000
RSTIP,60,20200110,110000,1.7410000,1.7910000,1.7250000,1.7780000,6722000
RSTIP,60,20200110,120000,1.7750000,1.7780000,1.7520000,1.7550000,2121000
RSTIP,60,20200110,130000,1.7590000,1.7780000,1.7550000,1.7750000,2001000
RSTIP,60,20200110,140000,1.7760000,1.7900000,1.7760000,1.7760000,3691000
RSTIP,60,20200110,150000,1.7760000,1.7790000,1.7710000,1.7780000,1326000
RSTIP,60,20200110,160000,1.7760000,1.7790000,1.7750000,1.7780000,555000
RSTIP,60,20200110,170000,1.7780000,1.7780000,1.7610000,1.7650000,597000
RSTIP,60,20200110,180000,1.7640000,1.7650000,1.7600000,1.7640000,434000
RSTIP,60,20200110,190000,1.7640000,1.7770000,1.7640000,1.7750000,650000
RSTIP,60,20200113,110000,1.7790000,1.8100000,1.7760000,1.7800000,2970000
RSTIP,60,20200113,120000,1.7800000,1.7840000,1.7760000,1.7800000,553000
RSTIP,60,20200113,130000,1.7780000,1.7900000,1.7780000,1.7880000,998000
RSTIP,60,20200113,140000,1.7870000,1.7880000,1.7830000,1.7860000,848000
RSTIP,60,20200113,150000,1.7860000,1.7870000,1.7630000,1.7680000,1021000
RSTIP,60,20200113,160000,1.7680000,1.7800000,1.7670000,1.7770000,416000
RSTIP,60,20200113,170000,1.7770000,1.7800000,1.7730000,1.7780000,638000
RSTIP,60,20200113,180000,1.7780000,1.7870000,1.7780000,1.7840000,711000
RSTIP,60,20200113,190000,1.7840000,1.7840000,1.7650000,1.7720000,1446000
RSTIP,60,20200114,110000,1.7880000,1.8400000,1.7730000,1.8110000,5953000
RSTIP,60,20200114,120000,1.8150000,1.8170000,1.7510000,1.7590000,7224000
RSTIP,60,20200114,130000,1.7600000,1.7790000,1.7530000,1.7740000,1947000
RSTIP,60,20200114,140000,1.7750000,1.7970000,1.7700000,1.7970000,1152000
RSTIP,60,20200114,150000,1.7980000,1.7980000,1.7800000,1.7800000,3500000
