<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>
RSTI,60,20200103,110000,1.3909000,1.3986000,1.3750000,1.3866000,23448000
RSTI,60,20200103,120000,1.3866000,1.3944000,1.3848000,1.3933000,12772000
RSTI,60,20200103,130000,1.3933000,1.4085000,1.3908000,1.3983000,21650000
RSTI,60,20200103,140000,1.3980000,1.4120000,1.3936000,1.4060000,19097000
RSTI,60,20200103,150000,1.4060000,1.4111000,1.4045000,1.4079000,13161000
RSTI,60,20200103,160000,1.4079000,1.4088000,1.3962000,1.4074000,16114000
RSTI,60,20200103,170000,1.4075000,1.4100000,1.4034000,1.4044000,10035000
RSTI,60,20200103,180000,1.4048000,1.4064000,1.4032000,1.4064000,10057000
RSTI,60,20200103,190000,1.4064000,1.4179000,1.4062000,1.4156000,32544000
RSTI,60,20200106,110000,1.4150000,1.4160000,1.3977000,1.4030000,20482000
RSTI,60,20200106,120000,1.4021000,1.4159000,1.3981000,1.4138000,13059000
RSTI,60,20200106,130000,1.4139000,1.4288000,1.4084000,1.4228000,34264000
RSTI,60,20200106,140000,1.4237000,1.4277000,1.4187000,1.4233000,24085000
RSTI,60,20200106,150000,1.4232000,1.4258000,1.4167000,1.4222000,7333000
RSTI,60,20200106,160000,1.4214000,1.4270000,1.4206000,1.4250000,6843000
RSTI,60,20200106,170000,1.4245000,1.4259000,1.4227000,1.4259000,4419000
RSTI,60,20200106,180000,1.4258000,1.4269000,1.4203000,1.4240000,5006000
RSTI,60,20200106,190000,1.4238000,1.4260000,1.4124000,1.4167000,11455000
RSTI,60,20200108,110000,1.4091000,1.4173000,1.3879000,1.4155000,33146000
RSTI,60,20200108,120000,1.4161000,1.4230000,1.4122000,1.4138000,10316000
RSTI,60,20200108,130000,1.4154000,1.4250000,1.4133000,1.4250000,12329000
RSTI,60,20200108,140000,1.4249000,1.4325000,1.4163000,1.4235000,66452000
RSTI,60,20200108,150000,1.4235000,1.4285000,1.4190000,1.4237000,21242000
RSTI,60,20200108,160000,1.4231000,1.4249000,1.4217000,1.4221000,10067000
RSTI,60,20200108,170000,1.4221000,1.4325000,1.4190000,1.4290000,31679000
RSTI,60,20200108,180000,1.4281000,1.4375000,1.4261000,1.4330000,27422000
RSTI,60,20200108,190000,1.4328000,1.4430000,1.4269000,1.4326000,42408000
RSTI,60,20200109,110000,1.4328000,1.4398000,1.4210000,1.4264000,28435000
RSTI,60,20200109,120000,1.4268000,1.4322000,1.4238000,1.4285000,7513000
RSTI,60,20200109,130000,1.4285000,1.4450000,1.4269000,1.4433000,24127000
RSTI,60,20200109,140000,1.4433000,1.4433000,1.4350000,1.4374000,4877000
RSTI,60,20200109,150000,1.4382000,1.4490000,1.4382000,1.4490000,18684000
RSTI,60,20200109,160000,1.4490000,1.4956000,1.4475000,1.4750000,113892000
RSTI,60,20200109,170000,1.4750000,1.4800000,1.4658000,1.4742000,25337000
RSTI,60,20200109,180000,1.4742000,1.4787000,1.4668000,1.4774000,13762000
RSTI,60,20200109,190000,1.4788000,1.4800000,1.4679000,1.4795000,28326000
RSTI,60,20200110,110000,1.4850000,1.5170000,1.4702000,1.4880000,130654000
RSTI,60,20200110,120000,1.4880000,1.4900000,1.4809000,1.4857000,19318000
RSTI,60,20200110,130000,1.4869000,1.4987000,1.4851000,1.4977000,16180000
RSTI,60,20200110,140000,1.4981000,1.5200000,1.4981000,1.5083000,59208000
RSTI,60,20200110,150000,1.5090000,1.5157000,1.5077000,1.5081000,11622000
RSTI,60,20200110,160000,1.5091000,1.5126000,1.5042000,1.5090000,9077000
RSTI,60,20200110,170000,1.5092000,1.5099000,1.4958000,1.5000000,12974000
RSTI,60,20200110,180000,1.4992000,1.5013000,1.4901000,1.4984000,18274000
RSTI,60,20200110,190000,1.4984000,1.5100000,1.4980000,1.5090000,24236000
RSTI,60,20200113,110000,1.5138000,1.5288000,1.5072000,1.5121000,30778000
RSTI,60,20200113,120000,1.5121000,1.5148000,1.5007000,1.5125000,20200000
RSTI,60,20200113,130000,1.5125000,1.5226000,1.5113000,1.5223000,23949000
RSTI,60,20200113,140000,1.5221000,1.5265000,1.5150000,1.5182000,33013000
RSTI,60,20200113,150000,1.5182000,1.5200000,1.5122000,1.5168000,10044000
RSTI,60,20200113,160000,1.5169000,1.5232000,1.5156000,1.5211000,18128000
RSTI,60,20200113,170000,1.5215000,1.5263000,1.5180000,1.5228000,12302000
RSTI,60,20200113,180000,1.5228000,1.5235000,1.5110000,1.5197000,18416000
RSTI,60,20200113,190000,1.5191000,1.5200000,1.4962000,1.5016000,47787000
RSTI,60,20200114,110000,1.5025000,1.5144000,1.4953000,1.5023000,40857000
RSTI,60,20200114,120000,1.5033000,1.5058000,1.4423000,1.4561000,160418000
RSTI,60,20200114,130000,1.4561000,1.4940000,1.4559000,1.4816000,89085000
RSTI,60,20200114,140000,1.4816000,1.4898000,1.4780000,1.4855000,24786000
RSTI,60,20200114,150000,1.4855000,1.4950000,1.4753000,1.4809000,41069000
RSTI,60,20200114,160000,1.4808000,1.4899000,1.4748000,1.4820000,75163000
RSTI,60,20200114,170000,1.4820000,1.4990000,1.4784000,1.4953000,33464000
RSTI,60,20200114,180000,1.4952000,1.5000000,1.4856000,1.4931000,23921000
RSTI,60,20200114,190000,1.4914000,1.4940000,1.4776000,1.4828000,15036000
RSTI,60,20200115,110000,1.4831000,1.4900000,1.4471000,1.4510000,69657000
RSTI,60,20200115,120000,1.4508000,1.4765000,1.4501000,1.4667000,33036000
RSTI,60,20200115,130000,1.4667000,1.4751000,1.4652000,1.4719000,11497000
RSTI,60,20200115,140000,1.4712000,1.4787000,1.4640000,1.4659000,18148000
RSTI,60,20200115,150000,1.4669000,1.4672000,1.4500000,1.4570000,26477000
RSTI,60,20200115,160000,1.4587000,1.4719000,1.4513000,1.4701000,13938000
RSTI,60,20200115,170000,1.4710000,1.4742000,1.4404000,1.4489000,48277000
RSTI,60,20200115,180000,1.4486000,1.4690000,1.4400000,1.4644000,47703000
RSTI,60,20200115,190000,1.4647000,1.4659000,1.4568000,1.4638000,20062000
RSTI,60,20200116,110000,1.4667000,1.4920000,1.4661000,1.4903000,45525000
RSTI,60,20200116,120000,1.4903000,1.4920000,1.4737000,1.4799000,36524000
RSTI,60,20200116,130000,1.4803000,1.4843000,1.4760000,1.4820000,18471000
RSTI,60,20200116,140000,1.4816000,1.4850000,1.4800000,1.4838000,16701000
RSTI,60,20200116,150000,1.4832000,1.4861000,1.4800000,1.4844000,16087000
RSTI,60,20200116,160000,1.4838000,1.4870000,1.4812000,1.4834000,8265000
RSTI,60,20200116,170000,1.4841000,1.4988000,1.4748000,1.4910000,48577000
RSTI,60,20200116,180000,1.4915000,1.4960000,1.4855000,1.4938000,21203000
RSTI,60,20200116,190000,1.4947000,1.5200000,1.4912000,1.5200000,63811000
RSTI,60,20200117,110000,1.5200000,1.5782000,1.5174000,1.5700000,202861000
RSTI,60,20200117,120000,1.5708000,1.5724000,1.5527000,1.5595000,49028000
RSTI,60,20200117,130000,1.5600000,1.5643000,1.5500000,1.5513000,46522000
RSTI,60,20200117,140000,1.5513000,1.5645000,1.5460000,1.5522000,42755000
RSTI,60,20200117,150000,1.5532000,1.5587000,1.5482000,1.5582000,16940000
RSTI,60,20200117,160000,1.5577000,1.5650000,1.5567000,1.5650000,25471000
RSTI,60,20200117,170000,1.5650000,1.6000000,1.5621000,1.5948000,138591000
RSTI,60,20200117,180000,1.5950000,1.5985000,1.5701000,1.5795000,81749000
RSTI,60,20200117,190000,1.5800000,1.5800000,1.5771000,1.5799000,62376000
RSTI,60,20200120,110000,1.5840000,1.6131000,1.5705000,1.5768000,65364000
RSTI,60,20200120,120000,1.5796000,1.5880000,1.5700000,1.5733000,36005000
RSTI,60,20200120,130000,1.5733000,1.5814000,1.5664000,1.5750000,29327000
RSTI,60,20200120,140000,1.5747000,1.5800000,1.5680000,1.5749000,25388000
RSTI,60,20200120,150000,1.5743000,1.5748000,1.5500000,1.5660000,51239000
RSTI,60,20200120,160000,1.5649000,1.5700000,1.5550000,1.5600000,37152000
RSTI,60,20200120,170000,1.5600000,1.5655000,1.5532000,1.5579000,16485000
RSTI,60,20200120,180000,1.5579000,1.5650000,1.5566000,1.5605000,16447000
RSTI,60,20200120,190000,1.5605000,1.5628000,1.5530000,1.5559000,20427000
RSTI,60,20200121,110000,1.5559000,1.5775000,1.5313000,1.5769000,53104000
RSTI,60,20200121,120000,1.5746000,1.5759000,1.5560000,1.5625000,24557000
RSTI,60,20200121,130000,1.5625000,1.5686000,1.5560000,1.5662000,16215000
RSTI,60,20200121,140000,1.5664000,1.5670000,1.5526000,1.5544000,14768000
RSTI,60,20200121,150000,1.5543000,1.5622000,1.5470000,1.5576000,15275000
RSTI,60,20200121,160000,1.5567000,1.5575000,1.5514000,1.5516000,3890000
RSTI,60,20200121,170000,1.5521000,1.5521000,1.5357000,1.5413000,12322000
RSTI,60,20200121,180000,1.5413000,1.5492000,1.5362000,1.5447000,15428000
RSTI,60,20200121,190000,1.5452000,1.5500000,1.5403000,1.5415000,30013000
RSTI,60,20200122,110000,1.5472000,1.5664000,1.5470000,1.5490000,15689000
