<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>
SBERP,60,20200103,110000,229.6000000,229.9900000,228.8400000,229.1000000,494180
SBERP,60,20200103,120000,229.1500000,229.9000000,228.9900000,229.6200000,289620
SBERP,60,20200103,130000,229.6900000,230.0400000,229.3500000,229.7700000,404520
SBERP,60,20200103,140000,229.8400000,230.0100000,229.0100000,229.1400000,339530
SBERP,60,20200103,150000,229.2000000,229.3900000,227.3200000,227.3700000,591140
SBERP,60,20200103,160000,227.3700000,227.5900000,226.3700000,227.0100000,717950
SBERP,60,20200103,170000,226.9700000,227.2200000,226.4000000,226.5300000,306710
SBERP,60,20200103,180000,226.5100000,226.9300000,226.4200000,226.6300000,495990
SBERP,60,20200103,190000,226.5700000,226.7600000,226.2500000,226.4000000,826800
SBERP,60,20200106,110000,226.2000000,226.7300000,223.8600000,224.4300000,918620
SBERP,60,20200106,120000,224.4000000,225.6500000,224.4000000,224.5200000,523660
SBERP,60,20200106,130000,224.5100000,224.8300000,224.2000000,224.5500000,416510
SBERP,60,20200106,140000,224.5000000,225.0800000,224.4300000,224.9200000,99080
SBERP,60,20200106,150000,225.0000000,225.2000000,224.6100000,224.8100000,90560
SBERP,60,20200106,160000,224.8800000,225.1000000,224.6000000,225.0100000,475940
SBERP,60,20200106,170000,224.9900000,225.4900000,224.7000000,225.3900000,153390
SBERP,60,20200106,180000,225.3500000,225.6600000,225.0800000,225.3000000,91760
SBERP,60,20200106,190000,225.4800000,226.2800000,225.1300000,225.9500000,242200
SBERP,60,20200108,110000,226.2000000,227.3500000,225.2200000,226.8800000,577700
SBERP,60,20200108,120000,226.8500000,228.9900000,226.8300000,228.2700000,782200
SBERP,60,20200108,130000,228.2700000,228.9000000,227.9600000,228.3600000,304650
SBERP,60,20200108,140000,228.3800000,229.3200000,228.0000000,229.3200000,511580
SBERP,60,20200108,150000,229.3200000,230.3000000,229.3200000,230.0300000,1096160
SBERP,60,20200108,160000,230.0500000,230.5000000,229.9100000,230.4400000,882540
SBERP,60,20200108,170000,230.4800000,230.8700000,229.9700000,230.2400000,560490
SBERP,60,20200108,180000,230.2300000,230.4800000,229.9600000,230.2200000,355380
SBERP,60,20200108,190000,230.2000000,230.7300000,229.9100000,230.3800000,511350
SBERP,60,20200109,110000,231.0100000,232.5500000,230.7100000,231.8800000,1030510
SBERP,60,20200109,120000,231.9200000,232.1500000,230.5100000,231.4600000,764300
SBERP,60,20200109,130000,231.4600000,232.0900000,231.1400000,231.9900000,514690
SBERP,60,20200109,140000,231.9900000,232.0000000,230.8500000,231.3200000,590730
SBERP,60,20200109,150000,231.3100000,232.6000000,231.2000000,232.5000000,781280
SBERP,60,20200109,160000,232.5000000,232.7000000,231.2000000,231.5300000,450690
SBERP,60,20200109,170000,231.5000000,231.9600000,231.2300000,231.2500000,238200
SBERP,60,20200109,180000,231.2200000,231.8400000,230.7000000,230.9900000,547570
SBERP,60,20200109,190000,230.9900000,231.0200000,230.2400000,231.0000000,816990
SBERP,60,20200110,110000,231.0300000,231.5500000,230.0500000,230.7000000,379960
SBERP,60,20200110,120000,230.5700000,231.8700000,230.4100000,231.5800000,345330
SBERP,60,20200110,130000,231.5800000,232.2300000,231.4200000,231.7600000,343540
SBERP,60,20200110,140000,231.7600000,232.0200000,231.4100000,231.6200000,162410
SBERP,60,20200110,150000,231.6300000,232.0600000,231.5000000,232.0000000,223090
SBERP,60,20200110,160000,231.9400000,232.1200000,231.7600000,232.0600000,394320
SBERP,60,20200110,170000,232.0600000,232.1100000,231.5400000,231.9900000,257690
SBERP,60,20200110,180000,231.9300000,232.3000000,231.7000000,231.9600000,402770
SBERP,60,20200110,190000,231.9600000,232.4000000,231.8200000,232.0000000,516610
SBERP,60,20200113,110000,231.9900000,233.3300000,231.9900000,233.1100000,428070
SBERP,60,20200113,120000,233.0800000,233.8000000,232.7700000,233.1900000,441900
SBERP,60,20200113,130000,233.1900000,234.0900000,233.0000000,233.5700000,263570
SBERP,60,20200113,140000,233.5600000,233.5600000,232.9500000,233.3100000,212520
SBERP,60,20200113,150000,233.3100000,233.9900000,233.1000000,233.2600000,177380
SBERP,60,20200113,160000,233.2500000,233.8300000,233.1000000,233.3700000,120510
SBERP,60,20200113,170000,233.3500000,234.0900000,233.2000000,234.0900000,208410
SBERP,60,20200113,180000,234.0700000,234.7500000,233.6600000,234.7100000,393390
SBERP,60,20200113,190000,234.7700000,234.9500000,234.3900000,234.9500000,496400
SBERP,60,20200114,110000,235.0000000,236.4500000,234.6200000,236.4300000,962820
SBERP,60,20200114,120000,236.4400000,236.4700000,234.7400000,235.0700000,803050
SBERP,60,20200114,130000,235.0100000,235.7000000,234.8000000,235.0500000,411020
