<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>
STSBP,10,03/01/20,10:10:00,0.3280000,0.3298000,0.3280000,0.3298000,10000
STSBP,10,03/01/20,10:20:00,0.3198000,0.3198000,0.3198000,0.3198000,0
STSBP,10,03/01/20,10:30:00,0.3198000,0.3198000,0.3198000,0.3198000,0
STSBP,10,03/01/20,10:40:00,0.3198000,0.3198000,0.3198000,0.3198000,0
STSBP,10,03/01/20,10:50:00,0.3208000,0.3208000,0.3198000,0.3198000,10000
STSBP,10,03/01/20,11:00:00,0.3268000,0.3268000,0.3268000,0.3268000,1000
STSBP,10,03/01/20,11:10:00,0.3290000,0.3290000,0.3290000,0.3290000,0
STSBP,10,03/01/20,11:20:00,0.3290000,0.3290000,0.3290000,0.3290000,0
STSBP,10,03/01/20,11:30:00,0.3290000,0.3290000,0.3290000,0.3290000,0
STSBP,10,03/01/20,11:40:00,0.3290000,0.3290000,0.3290000,0.3290000,0
STSBP,10,03/01/20,11:50:00,0.3290000,0.3290000,0.3290000,0.3290000,0
STSBP,10,03/01/20,12:00:00,0.3290000,0.3290000,0.3290000,0.3290000,0
STSBP,10,03/01/20,12:10:00,0.3290000,0.3290000,0.3290000,0.3290000,0
STSBP,10,03/01/20,12:20:00,0.3290000,0.3290000,0.3290000,0.3290000,0
STSBP,10,03/01/20,12:30:00,0.3290000,0.3290000,0.3290000,0.3290000,0
STSBP,10,03/01/20,12:40:00,0.3290000,0.3290000,0.3290000,0.3290000,0
STSBP,10,03/01/20,12:50:00,0.3290000,0.3290000,0.3290000,0.3290000,1000
STSBP,10,03/01/20,13:00:00,0.3290000,0.3292000,0.3290000,0.3292000,8000
STSBP,10,03/01/20,13:10:00,0.3210000,0.3210000,0.3210000,0.3210000,1000
STSBP,10,03/01/20,13:20:00,0.3286000,0.3286000,0.3286000,0.3286000,0
STSBP,10,03/01/20,13:30:00,0.3286000,0.3286000,0.3286000,0.3286000,0
STSBP,10,03/01/20,13:40:00,0.3286000,0.3286000,0.3286000,0.3286000,0
