<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>
SNGSP,10,03/01/20,10:10:00,37.8050000,38.1600000,37.7550000,38.0700000,741700
SNGSP,10,03/01/20,10:20:00,38.0700000,38.1100000,38.0300000,38.0700000,199600
SNGSP,10,03/01/20,10:30:00,38.0700000,38.3200000,38.0700000,38.2350000,530400
SNGSP,10,03/01/20,10:40:00,38.2400000,38.4050000,38.2400000,38.3000000,825800
SNGSP,10,03/01/20,10:50:00,38.3000000,38.3850000,38.3000000,38.3400000,174200
SNGSP,10,03/01/20,11:00:00,38.3350000,38.3400000,38.2900000,38.3200000,178500
SNGSP,10,03/01/20,11:10:00,38.3150000,38.4000000,38.2550000,38.3950000,325400
SNGSP,10,03/01/20,11:20:00,38.3850000,38.3850000,38.2200000,38.2950000,657600
SNGSP,10,03/01/20,11:30:00,38.3100000,38.3300000,38.2700000,38.3250000,129800
SNGSP,10,03/01/20,11:40:00,38.3100000,38.4800000,38.2900000,38.4500000,915700
SNGSP,10,03/01/20,11:50:00,38.4400000,38.4700000,38.4250000,38.4600000,168600
SNGSP,10,03/01/20,12:00:00,38.4600000,38.4700000,38.4150000,38.4250000,287300
SNGSP,10,03/01/20,12:10:00,38.4250000,38.4400000,38.1250000,38.1500000,1648300
SNGSP,10,03/01/20,12:20:00,38.1500000,38.1850000,38.1400000,38.1600000,250100
SNGSP,10,03/01/20,12:30:00,38.1650000,38.2050000,38.1550000,38.1650000,296500
SNGSP,10,03/01/20,12:40:00,38.1600000,38.1800000,38.0900000,38.1000000,532300
SNGSP,10,03/01/20,12:50:00,38.1150000,38.1150000,38.0200000,38.0650000,533900
SNGSP,10,03/01/20,13:00:00,38.0350000,38.0400000,37.9650000,38.0400000,512600
SNGSP,10,03/01/20,13:10:00,38.0300000,38.2200000,38.0000000,38.2000000,392200
SNGSP,10,03/01/20,13:20:00,38.2200000,38.2350000,38.1150000,38.1400000,295300
SNGSP,10,03/01/20,13:30:00,38.1350000,38.2000000,38.1100000,38.1750000,199200
SNGSP,10,03/01/20,13:40:00,38.1950000,38.2000000,38.1050000,38.1500000,193800
SNGSP,10,03/01/20,13:50:00,38.1350000,38.1500000,38.1000000,38.1150000,173500
SNGSP,10,03/01/20,14:00:00,38.1000000,38.1100000,38.0250000,38.0800000,337600
SNGSP,10,03/01/20,14:10:00,38.0800000,38.1450000,38.0800000,38.1250000,101600
SNGSP,10,03/01/20,14:20:00,38.1100000,38.1600000,38.1050000,38.1200000,101000
SNGSP,10,03/01/20,14:30:00,38.1200000,38.2100000,38.1150000,38.1950000,138500
SNGSP,10,03/01/20,14:40:00,38.2050000,38.2450000,38.1750000,38.2300000,255800
SNGSP,10,03/01/20,14:50:00,38.2400000,38.2700000,38.2200000,38.2200000,334600
SNGSP,10,03/01/20,15:00:00,38.2200000,38.2450000,38.2000000,38.2250000,121300
SNGSP,10,03/01/20,15:10:00,38.2300000,38.2300000,38.1000000,38.1000000,377900
SNGSP,10,03/01/20,15:20:00,38.1200000,38.1250000,38.0450000,38.0500000,264100
SNGSP,10,03/01/20,15:30:00,38.0700000,38.0900000,38.0350000,38.0800000,321000
SNGSP,10,03/01/20,15:40:00,38.0600000,38.0650000,38.0050000,38.0450000,301400
SNGSP,10,03/01/20,15:50:00,38.0350000,38.0600000,37.9900000,38.0400000,607200
SNGSP,10,03/01/20,16:00:00,38.0400000,38.0400000,37.9800000,37.9800000,223800
SNGSP,10,03/01/20,16:10:00,37.9800000,38.0400000,37.9750000,38.0100000,226900
SNGSP,10,03/01/20,16:20:00,38.0050000,38.0450000,38.0000000,38.0350000,201200
SNGSP,10,03/01/20,16:30:00,38.0100000,38.0350000,37.9600000,37.9600000,341900
SNGSP,10,03/01/20,16:40:00,37.9600000,38.0100000,37.9200000,37.9450000,266700
SNGSP,10,03/01/20,16:50:00,37.9450000,37.9550000,37.9100000,37.9100000,252800
SNGSP,10,03/01/20,17:00:00,37.9100000,37.9350000,37.8600000,37.8950000,488600
SNGSP,10,03/01/20,17:10:00,37.8950000,37.8950000,37.8500000,37.8800000,313400
SNGSP,10,03/01/20,17:20:00,37.8800000,37.9050000,37.8450000,37.8450000,350400
SNGSP,10,03/01/20,17:30:00,37.8450000,37.8800000,37.8400000,37.8450000,248000
SNGSP,10,03/01/20,17:40:00,37.8450000,37.9450000,37.8450000,37.8900000,274100
SNGSP,10,03/01/20,17:50:00,37.9150000,38.0250000,37.8950000,38.0000000,267000
SNGSP,10,03/01/20,18:00:00,38.0000000,38.0200000,37.8400000,37.9100000,540200
