<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>
SNGS,10,03/01/20,10:10:00,50.5900000,51.3450000,50.5600000,51.0550000,2646200
SNGS,10,03/01/20,10:20:00,51.0750000,51.1150000,50.9650000,50.9700000,614200
SNGS,10,03/01/20,10:30:00,50.9800000,51.2000000,50.9500000,51.1850000,584900
SNGS,10,03/01/20,10:40:00,51.1600000,51.2300000,51.0550000,51.1250000,333300
SNGS,10,03/01/20,10:50:00,51.1000000,51.2600000,51.1000000,51.1800000,375600
SNGS,10,03/01/20,11:00:00,51.1450000,51.2000000,51.0800000,51.1050000,291800
SNGS,10,03/01/20,11:10:00,51.1350000,51.3500000,51.1200000,51.3400000,1153100
SNGS,10,03/01/20,11:20:00,51.3350000,51.3500000,51.2150000,51.2400000,694400
SNGS,10,03/01/20,11:30:00,51.2650000,51.3300000,51.2450000,51.3050000,438700
SNGS,10,03/01/20,11:40:00,51.3050000,51.6550000,51.2550000,51.5200000,2761500
SNGS,10,03/01/20,11:50:00,51.5200000,51.5500000,51.4000000,51.4400000,669100
SNGS,10,03/01/20,12:00:00,51.4450000,51.6500000,51.3800000,51.6050000,1179600
SNGS,10,03/01/20,12:10:00,51.6350000,51.6400000,51.3200000,51.3800000,1065900
SNGS,10,03/01/20,12:20:00,51.3550000,51.4500000,51.3500000,51.4000000,244700
SNGS,10,03/01/20,12:30:00,51.4000000,51.4450000,51.2850000,51.2900000,447600
SNGS,10,03/01/20,12:40:00,51.2900000,51.4150000,51.2650000,51.3500000,326900
SNGS,10,03/01/20,12:50:00,51.3900000,51.3900000,51.2750000,51.3100000,305600
SNGS,10,03/01/20,13:00:00,51.3200000,51.4500000,51.2850000,51.4400000,487800
SNGS,10,03/01/20,13:10:00,51.4450000,51.5500000,51.3950000,51.5250000,527200
SNGS,10,03/01/20,13:20:00,51.5250000,51.5750000,51.4550000,51.5050000,727200
SNGS,10,03/01/20,13:30:00,51.5200000,51.6200000,51.5000000,51.6200000,499800
SNGS,10,03/01/20,13:40:00,51.6200000,51.6550000,51.5750000,51.5950000,798100
SNGS,10,03/01/20,13:50:00,51.5850000,51.6000000,51.5300000,51.5700000,163500
SNGS,10,03/01/20,14:00:00,51.5400000,51.5600000,51.4950000,51.5250000,204300
SNGS,10,03/01/20,14:10:00,51.5400000,51.5650000,51.4550000,51.4700000,372800
SNGS,10,03/01/20,14:20:00,51.4700000,51.4800000,51.4150000,51.4300000,149300
SNGS,10,03/01/20,14:30:00,51.4500000,51.4650000,51.4150000,51.4350000,120800
SNGS,10,03/01/20,14:40:00,51.4150000,51.4150000,51.3400000,51.3600000,270600
SNGS,10,03/01/20,14:50:00,51.3850000,51.4000000,51.3200000,51.3800000,179900
SNGS,10,03/01/20,15:00:00,51.3800000,51.4450000,51.3750000,51.4250000,190400
SNGS,10,03/01/20,15:10:00,51.4300000,51.4300000,51.3350000,51.3650000,238400
SNGS,10,03/01/20,15:20:00,51.3450000,51.3850000,51.3150000,51.3550000,179000
SNGS,10,03/01/20,15:30:00,51.3350000,51.3900000,51.3250000,51.3450000,240300
SNGS,10,03/01/20,15:40:00,51.3350000,51.3850000,51.3050000,51.3650000,144600
SNGS,10,03/01/20,15:50:00,51.3750000,51.3800000,51.3250000,51.3400000,78400
SNGS,10,03/01/20,16:00:00,51.3400000,51.3400000,51.2600000,51.3300000,442000
SNGS,10,03/01/20,16:10:00,51.3200000,51.3700000,51.3050000,51.3700000,111800
SNGS,10,03/01/20,16:20:00,51.3650000,51.3750000,51.3200000,51.3300000,137600
SNGS,10,03/01/20,16:30:00,51.3500000,51.4000000,51.3150000,51.3200000,295700
SNGS,10,03/01/20,16:40:00,51.3250000,51.3750000,51.3150000,51.3750000,179200
SNGS,10,03/01/20,16:50:00,51.3550000,51.3850000,51.3400000,51.3400000,153300
SNGS,10,03/01/20,17:00:00,51.3400000,51.3600000,51.2350000,51.2550000,448700
SNGS,10,03/01/20,17:10:00,51.2550000,51.2550000,51.1400000,51.1900000,785200
SNGS,10,03/01/20,17:20:00,51.2150000,51.2200000,51.0300000,51.0800000,1088000
SNGS,10,03/01/20,17:30:00,51.0800000,51.1050000,51.0100000,51.0100000,530000
SNGS,10,03/01/20,17:40:00,51.0100000,51.1000000,50.9500000,51.0300000,685700
SNGS,10,03/01/20,17:50:00,51.0500000,51.1800000,51.0500000,51.1550000,536100
SNGS,10,03/01/20,18:00:00,51.1700000,51.1850000,51.0600000,51.1250000,883000
SNGS,10,03/01/20,18:10:00,51.1350000,51.3850000,51.1250000,51.3700000,1135200
SNGS,10,03/01/20,18:20:00,51.3800000,51.4150000,51.3050000,51.3850000,799500
SNGS,10,03/01/20,18:30:00,51.4050000,51.4050000,51.2550000,51.2550000,506400
SNGS,10,03/01/20,18:40:00,51.2550000,51.3000000,51.2000000,51.2200000,759700
SNGS,10,03/01/20,18:50:00,51.3750000,51.3750000,51.3750000,51.3750000,1246400
SNGS,10,06/01/20,10:10:00,51.0150000,51.7150000,51.0150000,51.6250000,1832100
SNGS,10,06/01/20,10:20:00,51.6250000,51.6250000,51.4000000,51.5550000,881100
SNGS,10,06/01/20,10:30:00,51.5500000,52.2200000,51.4650000,51.9600000,3648700
SNGS,10,06/01/20,10:40:00,51.9800000,52.2300000,51.9000000,52.1000000,1813200
SNGS,10,06/01/20,10:50:00,52.1250000,52.2300000,52.0550000,52.1100000,771600
SNGS,10,06/01/20,11:00:00,52.1000000,52.2100000,51.9750000,52.1150000,1080400
SNGS,10,06/01/20,11:10:00,52.1050000,52.4200000,52.0450000,52.1500000,3066700
SNGS,10,06/01/20,11:20:00,52.1350000,52.1500000,51.8800000,51.9200000,990400
SNGS,10,06/01/20,11:30:00,51.9500000,52.0400000,51.9050000,52.0000000,855900
SNGS,10,06/01/20,11:40:00,51.9750000,52.0200000,51.7600000,51.7700000,840100
SNGS,10,06/01/20,11:50:00,51.7700000,51.9800000,51.6650000,51.9600000,934600
SNGS,10,06/01/20,12:00:00,51.9550000,52.0000000,51.7650000,51.7650000,532700
SNGS,10,06/01/20,12:10:00,51.7650000,51.8200000,51.7500000,51.7500000,423200
SNGS,10,06/01/20,12:20:00,51.7500000,51.8150000,51.7500000,51.7950000,326200
SNGS,10,06/01/20,12:30:00,51.7700000,51.8400000,51.7500000,51.7500000,323600
SNGS,10,06/01/20,12:40:00,51.7500000,51.9000000,51.6000000,51.8550000,1194600
SNGS,10,06/01/20,12:50:00,51.8550000,51.8850000,51.7800000,51.8600000,404300
SNGS,10,06/01/20,13:00:00,51.8650000,51.9350000,51.8650000,51.8650000,413900
SNGS,10,06/01/20,13:10:00,51.8650000,51.8650000,51.7000000,51.7700000,775100
SNGS,10,06/01/20,13:20:00,51.7800000,51.7950000,51.7150000,51.7150000,334600
SNGS,10,06/01/20,13:30:00,51.7050000,51.7650000,51.6600000,51.6950000,745000
SNGS,10,06/01/20,13:40:00,51.7150000,51.7350000,51.6600000,51.7200000,109500
SNGS,10,06/01/20,13:50:00,51.7200000,51.7650000,51.6800000,51.7050000,135700
SNGS,10,06/01/20,14:00:00,51.7050000,51.7200000,51.6950000,51.7150000,34900
SNGS,10,06/01/20,14:10:00,51.7000000,51.7000000,51.5550000,51.5750000,556300
SNGS,10,06/01/20,14:20:00,51.5750000,51.6050000,51.5000000,51.5450000,635600
SNGS,10,06/01/20,14:30:00,51.5450000,51.5550000,51.4150000,51.5500000,474100
SNGS,10,06/01/20,14:40:00,51.5250000,51.5950000,51.5000000,51.5550000,142200
SNGS,10,06/01/20,14:50:00,51.5800000,51.6050000,51.5600000,51.6050000,189800
SNGS,10,06/01/20,15:00:00,51.6050000,51.8300000,51.6050000,51.7700000,555000
SNGS,10,06/01/20,15:10:00,51.7600000,51.8200000,51.7150000,51.7500000,229000
SNGS,10,06/01/20,15:20:00,51.7300000,51.9750000,51.7100000,51.9300000,749900
SNGS,10,06/01/20,15:30:00,51.9200000,52.2800000,51.8750000,52.2100000,3136200
SNGS,10,06/01/20,15:40:00,52.2100000,52.2350000,52.1000000,52.1600000,791800
SNGS,10,06/01/20,15:50:00,52.1650000,52.1750000,52.0100000,52.0500000,536200
SNGS,10,06/01/20,16:00:00,52.0350000,52.0800000,51.9300000,52.0250000,727700
SNGS,10,06/01/20,16:10:00,52.0250000,52.0800000,51.9800000,52.0100000,330000
SNGS,10,06/01/20,16:20:00,52.0150000,52.0250000,51.8200000,51.8600000,479300
SNGS,10,06/01/20,16:30:00,51.8600000,51.9100000,51.7550000,51.9100000,417200
SNGS,10,06/01/20,16:40:00,51.8900000,51.8950000,51.7750000,51.7750000,243700
SNGS,10,06/01/20,16:50:00,51.7750000,51.8500000,51.7750000,51.8350000,203100
SNGS,10,06/01/20,17:00:00,51.8350000,51.8800000,51.7050000,51.7250000,330600
SNGS,10,06/01/20,17:10:00,51.7200000,51.8600000,51.7200000,51.8000000,212900
SNGS,10,06/01/20,17:20:00,51.7900000,51.7900000,51.6900000,51.7150000,207100
SNGS,10,06/01/20,17:30:00,51.7150000,51.7250000,51.6350000,51.6550000,326300
SNGS,10,06/01/20,17:40:00,51.6600000,51.7750000,51.6600000,51.7750000,201500
SNGS,10,06/01/20,17:50:00,51.7700000,52.1500000,51.7650000,51.9450000,1607000
SNGS,10,06/01/20,18:00:00,51.9350000,51.9750000,51.8800000,51.9200000,214300
SNGS,10,06/01/20,18:10:00,51.9300000,51.9750000,51.9200000,51.9500000,228500
SNGS,10,06/01/20,18:20:00,51.9450000,51.9900000,51.9300000,51.9500000,143000
SNGS,10,06/01/20,18:30:00,51.9350000,51.9600000,51.9000000,51.9000000,430300
SNGS,10,06/01/20,18:40:00,51.9150000,51.9950000,51.9000000,51.9650000,795200
SNGS,10,06/01/20,18:50:00,52.2000000,52.2000000,52.2000000,52.2000000,2559900
SNGS,10,08/01/20,10:10:00,52.2000000,52.3650000,51.8350000,52.1100000,2006900
SNGS,10,08/01/20,10:20:00,52.1200000,52.7500000,52.0850000,52.3400000,3455400
SNGS,10,08/01/20,10:30:00,52.3450000,52.4150000,52.2250000,52.3850000,671100
SNGS,10,08/01/20,10:40:00,52.3550000,52.3850000,52.2100000,52.2800000,395400
SNGS,10,08/01/20,10:50:00,52.2800000,52.3900000,52.2550000,52.3150000,454100
SNGS,10,08/01/20,11:00:00,52.2800000,52.3500000,52.2400000,52.3000000,484400
SNGS,10,08/01/20,11:10:00,52.2800000,52.5000000,52.2550000,52.4200000,982500
SNGS,10,08/01/20,11:20:00,52.4200000,52.4250000,52.3100000,52.3800000,441200
SNGS,10,08/01/20,11:30:00,52.3800000,52.4500000,52.3100000,52.4150000,333400
SNGS,10,08/01/20,11:40:00,52.4100000,52.4700000,52.2600000,52.4300000,1029400
SNGS,10,08/01/20,11:50:00,52.4300000,52.4300000,52.3200000,52.3200000,492300
SNGS,10,08/01/20,12:00:00,52.3400000,52.3850000,52.2800000,52.3350000,443300
SNGS,10,08/01/20,12:10:00,52.3350000,52.4250000,52.3000000,52.4000000,310700
SNGS,10,08/01/20,12:20:00,52.3700000,52.4400000,52.3550000,52.4050000,355600
SNGS,10,08/01/20,12:30:00,52.4350000,52.5250000,52.4150000,52.4650000,887400
SNGS,10,08/01/20,12:40:00,52.4650000,52.4800000,52.3600000,52.3800000,393700
SNGS,10,08/01/20,12:50:00,52.3600000,52.4400000,52.3050000,52.3450000,688200
SNGS,10,08/01/20,13:00:00,52.3350000,52.3900000,52.2300000,52.2800000,673400
SNGS,10,08/01/20,13:10:00,52.2800000,52.3050000,52.2200000,52.2800000,452300
SNGS,10,08/01/20,13:20:00,52.3000000,52.3300000,52.2600000,52.2800000,180400
SNGS,10,08/01/20,13:30:00,52.2800000,52.3350000,52.2500000,52.3100000,154400
SNGS,10,08/01/20,13:40:00,52.3350000,52.4150000,52.2950000,52.3800000,353900
SNGS,10,08/01/20,13:50:00,52.4000000,52.4550000,52.3800000,52.4400000,377800
SNGS,10,08/01/20,14:00:00,52.4400000,52.5400000,52.4250000,52.5200000,613000
SNGS,10,08/01/20,14:10:00,52.5200000,52.6000000,52.4000000,52.4600000,927100
SNGS,10,08/01/20,14:20:00,52.4650000,52.5050000,52.4200000,52.4200000,142200
SNGS,10,08/01/20,14:30:00,52.4450000,52.4500000,52.3750000,52.4050000,160600
SNGS,10,08/01/20,14:40:00,52.4100000,52.4500000,52.3750000,52.3900000,326000
SNGS,10,08/01/20,14:50:00,52.4100000,52.4300000,52.3750000,52.3850000,136500
SNGS,10,08/01/20,15:00:00,52.3850000,52.4400000,52.3150000,52.3650000,712700
SNGS,10,08/01/20,15:10:00,52.3650000,52.4400000,52.3250000,52.4200000,330500
SNGS,10,08/01/20,15:20:00,52.4250000,52.4600000,52.4000000,52.4350000,259800
SNGS,10,08/01/20,15:30:00,52.4350000,52.4350000,52.3800000,52.3800000,76100
SNGS,10,08/01/20,15:40:00,52.4000000,52.4600000,52.4000000,52.4550000,192900
SNGS,10,08/01/20,15:50:00,52.4600000,52.5300000,52.4450000,52.4900000,497400
SNGS,10,08/01/20,16:00:00,52.4900000,52.5100000,52.4450000,52.4750000,91400
SNGS,10,08/01/20,16:10:00,52.4700000,52.4750000,52.3900000,52.4400000,224300
SNGS,10,08/01/20,16:20:00,52.4350000,52.4450000,52.4050000,52.4250000,61100
SNGS,10,08/01/20,16:30:00,52.4250000,52.5350000,52.4000000,52.5050000,881500
SNGS,10,08/01/20,16:40:00,52.5050000,52.6950000,52.5050000,52.6200000,2119100
SNGS,10,08/01/20,16:50:00,52.6100000,52.9900000,52.6100000,52.8100000,2773500
SNGS,10,08/01/20,17:00:00,52.8200000,52.9550000,52.7200000,52.9500000,828700
SNGS,10,08/01/20,17:10:00,52.9250000,52.9550000,52.7450000,52.7800000,608200
SNGS,10,08/01/20,17:20:00,52.7850000,52.8150000,52.6250000,52.6350000,663600
SNGS,10,08/01/20,17:30:00,52.6350000,52.7950000,52.6100000,52.6100000,518400
SNGS,10,08/01/20,17:40:00,52.6000000,52.6500000,52.3500000,52.4050000,1313100
SNGS,10,08/01/20,17:50:00,52.4000000,52.5900000,52.3550000,52.5800000,495400
SNGS,10,08/01/20,18:00:00,52.5800000,52.5900000,52.4500000,52.4500000,588900
SNGS,10,08/01/20,18:10:00,52.4700000,52.5350000,52.3600000,52.4200000,480500
SNGS,10,08/01/20,18:20:00,52.4350000,52.4750000,52.2400000,52.2700000,994000
SNGS,10,08/01/20,18:30:00,52.2850000,52.3750000,52.2550000,52.3050000,546400
SNGS,10,08/01/20,18:40:00,52.3100000,52.3100000,51.9250000,51.9600000,4548200
SNGS,10,08/01/20,18:50:00,52.0000000,52.0000000,52.0000000,52.0000000,1359800
SNGS,10,09/01/20,10:10:00,52.1250000,52.4000000,51.9300000,52.3300000,1538400
SNGS,10,09/01/20,10:20:00,52.3200000,52.3300000,52.1350000,52.1700000,547500
SNGS,10,09/01/20,10:30:00,52.1850000,52.2000000,52.0000000,52.1400000,843300
SNGS,10,09/01/20,10:40:00,52.1350000,52.1350000,51.8000000,51.8650000,1245800
SNGS,10,09/01/20,10:50:00,51.8300000,52.0600000,51.6650000,52.0350000,1753200
SNGS,10,09/01/20,11:00:00,52.0500000,52.2350000,51.9950000,52.1000000,745600
SNGS,10,09/01/20,11:10:00,52.1000000,52.2150000,51.9150000,51.9600000,616000
SNGS,10,09/01/20,11:20:00,51.9600000,52.1000000,51.9500000,52.0400000,145200
SNGS,10,09/01/20,11:30:00,52.0550000,52.1900000,52.0250000,52.0550000,384500
SNGS,10,09/01/20,11:40:00,52.0200000,52.1800000,52.0200000,52.1100000,142400
SNGS,10,09/01/20,11:50:00,52.1100000,52.1750000,52.0800000,52.1250000,262800
SNGS,10,09/01/20,12:00:00,52.1300000,52.2900000,52.1100000,52.1500000,680300
SNGS,10,09/01/20,12:10:00,52.1500000,52.1700000,52.0000000,52.1050000,300600
SNGS,10,09/01/20,12:20:00,52.0850000,52.1550000,52.0050000,52.0400000,210900
SNGS,10,09/01/20,12:30:00,52.0200000,52.0800000,51.8400000,51.8500000,365600
SNGS,10,09/01/20,12:40:00,51.8350000,51.9400000,51.8000000,51.9400000,464900
SNGS,10,09/01/20,12:50:00,51.9400000,52.0700000,51.9150000,52.0350000,423100
SNGS,10,09/01/20,13:00:00,52.0350000,52.0350000,51.9300000,51.9400000,100900
SNGS,10,09/01/20,13:10:00,51.9400000,52.0600000,51.8850000,52.0400000,241800
SNGS,10,09/01/20,13:20:00,52.0100000,52.0650000,51.9900000,52.0150000,72400
SNGS,10,09/01/20,13:30:00,52.0150000,52.0450000,51.9450000,51.9600000,239600
SNGS,10,09/01/20,13:40:00,51.9500000,51.9500000,51.9000000,51.9350000,101100
SNGS,10,09/01/20,13:50:00,51.9200000,51.9450000,51.8750000,51.8750000,318500
SNGS,10,09/01/20,14:00:00,51.8750000,51.9700000,51.8300000,51.9650000,420600
SNGS,10,09/01/20,14:10:00,51.9750000,52.0000000,51.8400000,51.9750000,365400
SNGS,10,09/01/20,14:20:00,51.9800000,52.0550000,51.9500000,52.0100000,126800
SNGS,10,09/01/20,14:30:00,52.0100000,52.0500000,51.9950000,52.0500000,264400
SNGS,10,09/01/20,14:40:00,52.0500000,52.3200000,52.0500000,52.3200000,1030700
SNGS,10,09/01/20,14:50:00,52.3250000,52.3250000,52.1550000,52.2400000,405100
SNGS,10,09/01/20,15:00:00,52.2000000,52.3300000,52.1800000,52.2450000,271400
SNGS,10,09/01/20,15:10:00,52.2150000,52.2650000,52.1500000,52.2300000,252900
SNGS,10,09/01/20,15:20:00,52.2100000,52.6400000,52.2000000,52.4950000,2348300
SNGS,10,09/01/20,15:30:00,52.4900000,52.6350000,52.4750000,52.5350000,708300
SNGS,10,09/01/20,15:40:00,52.5400000,53.8000000,52.5400000,53.6500000,10899500
SNGS,10,09/01/20,15:50:00,53.6500000,53.6850000,53.2800000,53.3000000,2542600
SNGS,10,09/01/20,16:00:00,53.3050000,53.5900000,53.3050000,53.5750000,1286000
SNGS,10,09/01/20,16:10:00,53.5750000,53.5750000,53.4000000,53.4000000,1552900
SNGS,10,09/01/20,16:20:00,53.4100000,53.5100000,53.3300000,53.3400000,639000
SNGS,10,09/01/20,16:30:00,53.3300000,53.4200000,53.1650000,53.3100000,971000
SNGS,10,09/01/20,16:40:00,53.3100000,53.4550000,53.2100000,53.4250000,498800
SNGS,10,09/01/20,16:50:00,53.4100000,53.5350000,53.3900000,53.5150000,657000
SNGS,10,09/01/20,17:00:00,53.5150000,53.5250000,53.3850000,53.4200000,416900
SNGS,10,09/01/20,17:10:00,53.4250000,53.5050000,53.4050000,53.5000000,651400
SNGS,10,09/01/20,17:20:00,53.5000000,53.5350000,53.4300000,53.5350000,508300
SNGS,10,09/01/20,17:30:00,53.5100000,53.5350000,53.4000000,53.4750000,572600
SNGS,10,09/01/20,17:40:00,53.4750000,53.4750000,53.0250000,53.0750000,1241000
SNGS,10,09/01/20,17:50:00,53.0400000,53.3000000,53.0050000,53.0400000,1357400
SNGS,10,09/01/20,18:00:00,53.0550000,53.2000000,53.0550000,53.1800000,506500
SNGS,10,09/01/20,18:10:00,53.1900000,53.1900000,52.9150000,52.9900000,1545800
SNGS,10,09/01/20,18:20:00,53.0050000,53.5150000,52.9750000,53.4700000,2381800
SNGS,10,09/01/20,18:30:00,53.4900000,53.5650000,53.3850000,53.3850000,1956700
SNGS,10,09/01/20,18:40:00,53.4100000,53.7650000,53.3950000,53.7600000,2601400
SNGS,10,09/01/20,18:50:00,53.6450000,53.6450000,53.6450000,53.6450000,1189800
SNGS,10,10/01/20,10:10:00,53.7400000,53.8000000,53.3300000,53.3900000,2103400
SNGS,10,10/01/20,10:20:00,53.3950000,53.9500000,53.3500000,53.7700000,1804400
SNGS,10,10/01/20,10:30:00,53.8000000,53.8750000,53.7000000,53.7000000,879100
SNGS,10,10/01/20,10:40:00,53.7000000,53.7800000,53.4400000,53.5800000,792400
SNGS,10,10/01/20,10:50:00,53.5850000,53.5850000,53.3400000,53.4300000,1069100
SNGS,10,10/01/20,11:00:00,53.4300000,53.7050000,53.4300000,53.7050000,569600
SNGS,10,10/01/20,11:10:00,53.6600000,54.6000000,53.6600000,54.5550000,8536800
SNGS,10,10/01/20,11:20:00,54.5250000,54.6500000,54.2000000,54.2500000,2911900
SNGS,10,10/01/20,11:30:00,54.2200000,54.2200000,53.9350000,53.9800000,1161000
SNGS,10,10/01/20,11:40:00,53.9750000,54.1350000,53.9500000,54.1000000,1107600
SNGS,10,10/01/20,11:50:00,54.0950000,54.2500000,54.0000000,54.1050000,931700
SNGS,10,10/01/20,12:00:00,54.1150000,54.1750000,54.0750000,54.1450000,441700
SNGS,10,10/01/20,12:10:00,54.1250000,54.1550000,53.8950000,53.9950000,1544100
SNGS,10,10/01/20,12:20:00,54.0000000,54.1200000,53.9700000,54.1050000,520300
SNGS,10,10/01/20,12:30:00,54.1000000,54.2850000,54.0650000,54.2250000,734000
SNGS,10,10/01/20,12:40:00,54.2100000,54.2200000,53.9700000,54.0400000,617300
SNGS,10,10/01/20,12:50:00,54.0300000,54.1150000,53.9700000,54.0900000,235200
SNGS,10,10/01/20,13:00:00,54.0900000,54.3000000,54.0750000,54.2850000,742400
SNGS,10,10/01/20,13:10:00,54.2900000,54.2950000,54.0950000,54.2200000,561800
SNGS,10,10/01/20,13:20:00,54.2150000,54.2500000,54.1350000,54.1600000,311200
SNGS,10,10/01/20,13:30:00,54.1500000,54.2700000,54.0300000,54.2700000,845000
SNGS,10,10/01/20,13:40:00,54.2750000,54.5000000,54.2750000,54.3600000,2036800
SNGS,10,10/01/20,13:50:00,54.3950000,54.4500000,54.3300000,54.3550000,792100
SNGS,10,10/01/20,14:00:00,54.3550000,54.4100000,54.2700000,54.3700000,718900
SNGS,10,10/01/20,14:10:00,54.3600000,54.4350000,54.3150000,54.4150000,423500
SNGS,10,10/01/20,14:20:00,54.4350000,54.5000000,54.4000000,54.4750000,640100
SNGS,10,10/01/20,14:30:00,54.4800000,54.5000000,54.3550000,54.4900000,1826100
SNGS,10,10/01/20,14:40:00,54.4800000,54.5000000,54.1000000,54.2250000,1121200
SNGS,10,10/01/20,14:50:00,54.2250000,54.3100000,54.1250000,54.2000000,756100
SNGS,10,10/01/20,15:00:00,54.2100000,54.2750000,54.0600000,54.0650000,595700
SNGS,10,10/01/20,15:10:00,54.0800000,54.1850000,53.9900000,54.1150000,958900
SNGS,10,10/01/20,15:20:00,54.1100000,54.1100000,53.9750000,54.0450000,568500
SNGS,10,10/01/20,15:30:00,54.0450000,54.1200000,54.0150000,54.1200000,320700
SNGS,10,10/01/20,15:40:00,54.1150000,54.1850000,53.9800000,54.0600000,732300
SNGS,10,10/01/20,15:50:00,54.0600000,54.1200000,54.0450000,54.0900000,185200
SNGS,10,10/01/20,16:00:00,54.0850000,54.0900000,53.9400000,53.9850000,520400
SNGS,10,10/01/20,16:10:00,53.9750000,53.9900000,53.6550000,53.7350000,2375700
SNGS,10,10/01/20,16:20:00,53.7250000,53.8150000,53.5450000,53.8000000,1438000
SNGS,10,10/01/20,16:30:00,53.8000000,53.9550000,53.7450000,53.9100000,1027600
SNGS,10,10/01/20,16:40:00,53.9050000,54.1750000,53.8500000,54.0350000,1081800
SNGS,10,10/01/20,16:50:00,54.0350000,54.1200000,53.8800000,53.9500000,851200
SNGS,10,10/01/20,17:00:00,53.9250000,53.9500000,53.8250000,53.8400000,151000
SNGS,10,10/01/20,17:10:00,53.8400000,54.2800000,53.8250000,54.1600000,1495800
SNGS,10,10/01/20,17:20:00,54.1500000,54.2100000,54.0350000,54.1950000,520000
SNGS,10,10/01/20,17:30:00,54.1600000,54.2350000,54.1250000,54.2200000,268300
SNGS,10,10/01/20,17:40:00,54.2150000,54.2800000,54.1200000,54.1200000,782300
